"l","a","b","u"
0.09,-0.2488,0.028,2.80607893974208
0.19,-0.2488,0.028,1.91556772553976
0.29,-0.2488,0.028,1.19667216439637
0.39,-0.2488,0.028,0.75499215460019
0.49,-0.2488,0.028,0.432064575356775
0.59,-0.2488,0.028,0.135026389367066
0.69,-0.2488,0.028,0.29747791239616
0.79,-0.2488,0.028,1.30504045088251
0.89,-0.2488,0.028,2.82495592089384
0.09,-0.1488,0.028,3.47368643922243
0.19,-0.1488,0.028,2.5831752250201
0.29,-0.1488,0.028,1.86427966387671
0.39,-0.1488,0.028,1.42259965408053
0.49,-0.1488,0.028,1.09967207483712
0.59,-0.1488,0.028,0.802633888847406
0.69,-0.1488,0.028,0.9650854118765
0.79,-0.1488,0.028,1.97264795036285
0.89,-0.1488,0.028,3.49256342037418
0.09,-0.0488,0.028,4.20100706448343
0.19,-0.0488,0.028,3.31049585028111
0.29,-0.0488,0.028,2.59160028913772
0.39,-0.0488,0.028,2.14992027934154
0.49,-0.0488,0.028,1.82699270009812
0.59,-0.0488,0.028,1.52995451410842
0.69,-0.0488,0.028,1.69240603713751
0.79,-0.0488,0.028,2.69996857562386
0.89,-0.0488,0.028,4.21988404563519
0.09,0.0512,0.028,4.82631913436413
0.19,0.0512,0.028,3.93580792016181
0.29,0.0512,0.028,3.21691235901842
0.39,0.0512,0.028,2.77523234922224
0.49,0.0512,0.028,2.45230476997882
0.59,0.0512,0.028,2.15526658398911
0.69,0.0512,0.028,2.31771810701821
0.79,0.0512,0.028,3.32528064550456
0.89,0.0512,0.028,4.84519611551588
0.09,0.1512,0.028,5.20092048089194
0.19,0.1512,0.028,4.31040926668961
0.29,0.1512,0.028,3.59151370554623
0.39,0.1512,0.028,3.14983369575004
0.49,0.1512,0.028,2.82690611650663
0.59,0.1512,0.028,2.52986793051692
0.69,0.1512,0.028,2.69231945354601
0.79,0.1512,0.028,3.69988199203237
0.89,0.1512,0.028,5.21979746204369
0.09,0.2512,0.028,5.22818698884788
0.19,0.2512,0.028,4.33767577464555
0.29,0.2512,0.028,3.61878021350216
0.39,0.2512,0.028,3.17710020370598
0.49,0.2512,0.028,2.85417262446257
0.59,0.2512,0.028,2.55713443847286
0.69,0.2512,0.028,2.71958596150195
0.79,0.2512,0.028,3.7271484999883
0.89,0.2512,0.028,5.24706396999963
0.09,0.3512,0.028,4.82451405620137
0.19,0.3512,0.028,3.93400284199904
0.29,0.3512,0.028,3.21510728085565
0.39,0.3512,0.028,2.77342727105947
0.49,0.3512,0.028,2.45049969181605
0.59,0.3512,0.028,2.15346150582635
0.69,0.3512,0.028,2.31591302885544
0.79,0.3512,0.028,3.32347556734179
0.89,0.3512,0.028,4.84339103735312
0.09,0.4512,0.028,3.96310985147968
