"l","a","b","u"
0.59,0.3512,-0.272,0.207621269889175
0.69,0.3512,-0.272,0.303906434511656
0.79,0.3512,-0.272,1.0502855964044
0.89,0.3512,-0.272,2.20897809539652
0.09,0.4512,-0.272,3.225320976221
0.19,0.4512,-0.272,1.44121755526586
0.29,0.4512,-0.272,0.244733006629543
0.39,0.4512,-0.272,-0.00948165270410417
0.49,0.4512,-0.272,0.101353172908771
0.59,0.4512,-0.272,0.00789438780417218
0.69,0.4512,-0.272,0.104179552426653
0.79,0.4512,-0.272,0.850558714319394
0.89,0.4512,-0.272,2.00925121331152
0.09,0.5512,-0.272,3.16490254270379
0.19,0.5512,-0.272,1.38079912174864
0.29,0.5512,-0.272,0.184314573112327
0.39,0.5512,-0.272,-0.0699000862213202
0.49,0.5512,-0.272,0.0409347393915549
0.59,0.5512,-0.272,-0.0525240457130438
0.69,0.5512,-0.272,0.0437611189094367
0.79,0.5512,-0.272,0.790140280802178
0.89,0.5512,-0.272,1.9488327797943
0.09,-0.4488,-0.172,1.33589602274128
0.19,-0.4488,-0.172,-0.448207398213861
0.29,-0.4488,-0.172,-1.64469194685018
0.39,-0.4488,-0.172,-1.89890660618382
0.49,-0.4488,-0.172,-1.78807178057095
0.59,-0.4488,-0.172,-1.88153056567555
0.69,-0.4488,-0.172,-1.78524540105307
0.79,-0.4488,-0.172,-1.03886623916033
0.89,-0.4488,-0.172,0.119826259831801
0.09,-0.3488,-0.172,1.74009380371478
0.19,-0.3488,-0.172,-0.044009617240363
0.29,-0.3488,-0.172,-1.24049416587668
0.39,-0.3488,-0.172,-1.49470882521033
0.49,-0.3488,-0.172,-1.38387399959745
0.59,-0.3488,-0.172,-1.47733278470205
0.69,-0.3488,-0.172,-1.38104762007957
0.79,-0.3488,-0.172,-0.634668458186827
0.89,-0.3488,-0.172,0.524024040805299
0.09,-0.2488,-0.172,2.29428422727446
0.19,-0.2488,-0.172,0.510180806319311
0.29,-0.2488,-0.172,-0.686303742317004
0.39,-0.2488,-0.172,-0.940518401650651
0.49,-0.2488,-0.172,-0.829683576037776
0.59,-0.2488,-0.172,-0.923142361142375
0.69,-0.2488,-0.172,-0.826857196519894
0.79,-0.2488,-0.172,-0.0804780346271532
0.89,-0.2488,-0.172,1.07821446436497
0.09,-0.1488,-0.172,3.07229707562634
0.19,-0.1488,-0.172,1.2881936546712
0.29,-0.1488,-0.172,0.091709106034884
0.39,-0.1488,-0.172,-0.162505553298763
0.49,-0.1488,-0.172,-0.0516707276858883
0.59,-0.1488,-0.172,-0.145129512790487
0.69,-0.1488,-0.172,-0.0488443481680065
0.79,-0.1488,-0.172,0.697534813724735
0.89,-0.1488,-0.172,1.85622731271686
0.09,-0.0488,-0.172,3.84331068945592
0.19,-0.0488,-0.172,2.05920726850078
0.29,-0.0488,-0.172,0.862722719864465
0.39,-0.0488,-0.172,0.608508060530818
0.49,-0.0488,-0.172,0.719342886143693
0.59,-0.0488,-0.172,0.625884101039094
0.69,-0.0488,-0.172,0.722169265661575
0.79,-0.0488,-0.172,1.46854842755432
0.89,-0.0488,-0.172,2.62724092654644
0.09,0.0512,-0.172,4.30034054906854
0.19,0.0512,-0.172,2.5162371281134
0.29,0.0512,-0.172,1.31975257947708
0.39,0.0512,-0.172,1.06553792014344
0.49,0.0512,-0.172,1.17637274575631
0.59,0.0512,-0.172,1.08291396065171
0.69,0.0512,-0.172,1.17919912527419
0.79,0.0512,-0.172,1.92557828716693
0.89,0.0512,-0.172,3.08427078615906
0.09,0.1512,-0.172,4.23754317533238
0.19,0.1512,-0.172,2.45343975437723
0.29,0.1512,-0.172,1.25695520574092
0.39,0.1512,-0.172,1.00274054640727
0.49,0.1512,-0.172,1.11357537202015
0.59,0.1512,-0.172,1.02011658691555
0.69,0.1512,-0.172,1.11640175153803
0.79,0.1512,-0.172,1.86278091343077
0.89,0.1512,-0.172,3.0214734124229
0.09,0.2512,-0.172,3.85363925136699
0.19,0.2512,-0.172,2.06953583041185
0.29,0.2512,-0.172,0.873051281775534
0.39,0.2512,-0.172,0.618836622441886
0.49,0.2512,-0.172,0.729671448054761
0.59,0.2512,-0.172,0.636212662950163
0.69,0.2512,-0.172,0.732497827572643
0.79,0.2512,-0.172,1.47887698946538
0.89,0.2512,-0.172,2.63756948845751
0.09,0.3512,-0.172,3.44849050085478
0.19,0.3512,-0.172,1.66438707989964
0.29,0.3512,-0.172,0.467902531263321
0.39,0.3512,-0.172,0.213687871929673
0.49,0.3512,-0.172,0.324522697542548
0.59,0.3512,-0.172,0.23106391243795
0.69,0.3512,-0.172,0.32734907706043
0.79,0.3512,-0.172,1.07372823895317
0.89,0.3512,-0.172,2.2324207379453
0.09,0.4512,-0.172,3.24876361876978
0.19,0.4512,-0.172,1.46466019781463
0.29,0.4512,-0.172,0.268175649178318
0.39,0.4512,-0.172,0.0139609898446704
0.49,0.4512,-0.172,0.124795815457545
0.59,0.4512,-0.172,0.0313370303529468
0.69,0.4512,-0.172,0.127622194975427
0.79,0.4512,-0.172,0.874001356868168
0.89,0.4512,-0.172,2.03269385586029
0.09,0.5512,-0.172,3.18834518525256
0.19,0.5512,-0.172,1.40424176429742
0.29,0.5512,-0.172,0.207757215661102
0.39,0.5512,-0.172,-0.0464574436725456
0.49,0.5512,-0.172,0.0643773819403295
0.59,0.5512,-0.172,-0.0290814031642692
0.69,0.5512,-0.172,0.0672037614582113
0.79,0.5512,-0.172,0.813582923350952
0.89,0.5512,-0.172,1.97227542234308
0.09,-0.4488,-0.072,1.22298222064271
0.19,-0.4488,-0.072,-0.56112120031243
0.29,-0.4488,-0.072,-1.75760574894875
0.39,-0.4488,-0.072,-2.01182040828239
0.49,-0.4488,-0.072,-1.90098558266952
0.59,-0.4488,-0.072,-1.99444436777412
0.69,-0.4488,-0.072,-1.89815920315164
0.79,-0.4488,-0.072,-1.15178004125889
0.89,-0.4488,-0.072,0.00691245773323179
0.09,-0.3488,-0.072,1.62718000161621
0.19,-0.3488,-0.072,-0.156923419338933
0.29,-0.3488,-0.072,-1.35340796797525
0.39,-0.3488,-0.072,-1.60762262730889
0.49,-0.3488,-0.072,-1.49678780169602
0.59,-0.3488,-0.072,-1.59024658680062
0.69,-0.3488,-0.072,-1.49396142217814
0.79,-0.3488,-0.072,-0.747582260285397
0.89,-0.3488,-0.072,0.411110238706729
0.09,-0.2488,-0.072,2.18137042517589
0.19,-0.2488,-0.072,0.397267004220742
0.29,-0.2488,-0.072,-0.799217544415573
0.39,-0.2488,-0.072,-1.05343220374922
0.49,-0.2488,-0.072,-0.942597378136346
0.59,-0.2488,-0.072,-1.03605616324094
0.69,-0.2488,-0.072,-0.939770998618464
0.79,-0.2488,-0.072,-0.193391836725723
0.89,-0.2488,-0.072,0.965300662266404
0.09,-0.1488,-0.072,2.95938327352777
0.19,-0.1488,-0.072,1.17527985257263
0.29,-0.1488,-0.072,-0.0212046960636856
0.39,-0.1488,-0.072,-0.275419355397333
0.49,-0.1488,-0.072,-0.164584529784458
0.59,-0.1488,-0.072,-0.258043314889057
0.69,-0.1488,-0.072,-0.161758150266576
0.79,-0.1488,-0.072,0.584621011626165
0.89,-0.1488,-0.072,1.74331351061829
0.09,-0.0488,-0.072,3.73039688735735
0.19,-0.0488,-0.072,1.94629346640221
0.29,-0.0488,-0.072,0.749808917765896
0.39,-0.0488,-0.072,0.495594258432248
0.49,-0.0488,-0.072,0.606429084045123
0.59,-0.0488,-0.072,0.512970298940525
0.69,-0.0488,-0.072,0.609255463563005
0.79,-0.0488,-0.072,1.35563462545575
0.89,-0.0488,-0.072,2.51432712444787
0.09,0.0512,-0.072,4.18742674696997
0.19,0.0512,-0.072,2.40332332601483
0.29,0.0512,-0.072,1.20683877737851
0.39,0.0512,-0.072,0.952624118044866
0.49,0.0512,-0.072,1.06345894365774
0.59,0.0512,-0.072,0.970000158553142
0.69,0.0512,-0.072,1.06628532317562
0.79,0.0512,-0.072,1.81266448506836
0.89,0.0512,-0.072,2.97135698406049
0.09,0.1512,-0.072,4.12462937323381
0.19,0.1512,-0.072,2.34052595227866
0.29,0.1512,-0.072,1.14404140364235
0.39,0.1512,-0.072,0.889826744308702
0.49,0.1512,-0.072,1.00066156992158
0.59,0.1512,-0.072,0.907202784816979
0.69,0.1512,-0.072,1.00348794943946
0.79,0.1512,-0.072,1.7498671113322
