"l","a","b","u"
0.19,0.351181102,-0.472440945,-0.421729556138585
0.29,0.351181102,-0.472440945,-2.48998608104861
0.39,0.351181102,-0.472440945,-3.32046392563226
0.49,0.351181102,-0.472440945,-2.81253990111419
0.59,0.351181102,-0.472440945,-1.18717461006997
0.69,0.351181102,-0.472440945,0.509017202976833
0.79,0.351181102,-0.472440945,1.33036211785141
0.89,0.351181102,-0.472440945,1.56060615372198
0.09,0.451181102,-0.472440945,4.07618322430651
0.19,0.451181102,-0.472440945,1.33145223130133
0.29,0.451181102,-0.472440945,-0.736804293608694
0.39,0.451181102,-0.472440945,-1.56728213819235
0.49,0.451181102,-0.472440945,-1.05935811367427
0.59,0.451181102,-0.472440945,0.566007177369945
0.69,0.451181102,-0.472440945,2.26219899041674
0.79,0.451181102,-0.472440945,3.08354390529132
0.89,0.451181102,-0.472440945,3.3137879411619
0.09,0.551181102,-0.472440945,6.61904382036449
0.19,0.551181102,-0.472440945,3.8743128273593
0.29,0.551181102,-0.472440945,1.80605630244928
0.39,0.551181102,-0.472440945,0.975578457865628
0.49,0.551181102,-0.472440945,1.4835024823837
0.59,0.551181102,-0.472440945,3.10886777342792
0.69,0.551181102,-0.472440945,4.80505958647472
0.79,0.551181102,-0.472440945,5.62640450134929
0.89,0.551181102,-0.472440945,5.85664853721987
0.09,-0.448818898,-0.372440945,-2.98627051869687
0.19,-0.448818898,-0.372440945,-5.73100151170205
0.29,-0.448818898,-0.372440945,-7.79925803661208
0.39,-0.448818898,-0.372440945,-8.62973588119573
0.49,-0.448818898,-0.372440945,-8.12181185667766
0.59,-0.448818898,-0.372440945,-6.49644656563344
0.69,-0.448818898,-0.372440945,-4.80025475258664
0.79,-0.448818898,-0.372440945,-3.97890983771206
0.89,-0.448818898,-0.372440945,-3.74866580184149
0.09,-0.348818898,-0.372440945,-1.67692150641947
0.19,-0.348818898,-0.372440945,-4.42165249942466
0.29,-0.348818898,-0.372440945,-6.48990902433468
0.39,-0.348818898,-0.372440945,-7.32038686891833
0.49,-0.348818898,-0.372440945,-6.81246284440026
0.59,-0.348818898,-0.372440945,-5.18709755335604
0.69,-0.348818898,-0.372440945,-3.49090574030924
0.79,-0.348818898,-0.372440945,-2.66956082543467
0.89,-0.348818898,-0.372440945,-2.43931678956409
0.09,-0.248818898,-0.372440945,-0.589254023229003
0.19,-0.248818898,-0.372440945,-3.33398501623418
0.29,-0.248818898,-0.372440945,-5.40224154114421
0.39,-0.248818898,-0.372440945,-6.23271938572786
0.49,-0.248818898,-0.372440945,-5.72479536120979
